Tick: 309, energy: 10036.6, penergy: -799.718, kenergy: 10836.3
Tick: 310, energy: 10036.5, penergy: -803.448, kenergy: 10840
Tick: 311, energy: 10036.4, penergy: -807.298, kenergy: 10843.7
Tick: 312, energy: 10036.4, penergy: -811.255, kenergy: 10847.7
Tick: 313, energy: 10036.3, penergy: -815.312, kenergy: 10851.7
Tick: 314, energy: 10036.3, penergy: -819.461, kenergy: 10855.8
Tick: 315, energy: 10036.3, penergy: -823.695, kenergy: 10860
Tick: 316, energy: 10036.2, penergy: -828.005, kenergy: 10864.2
Tick: 317, energy: 10036.2, penergy: -832.382, kenergy: 10868.6
Tick: 318, energy: 10036.2, penergy: -836.81, kenergy: 10873
Tick: 319, energy: 10036.2, penergy: -841.272, kenergy: 10877.4
Tick: 320, energy: 10036.1, penergy: -845.747, kenergy: 10881.9
Tick: 321, energy: 10036.2, penergy: -850.211, kenergy: 10886.4
Tick: 322, energy: 10036.2, penergy: -854.636, kenergy: 10890.8
Tick: 323, energy: 10036.2, penergy: -858.992, kenergy: 10895.2
Tick: 324, energy: 10036.3, penergy: -863.246, kenergy: 10899.5
Tick: 325, energy: 10036.3, penergy: -867.366, kenergy: 10903.7
Tick: 326, energy: 10036.4, penergy: -871.319, kenergy: 10907.7
Tick: 327, energy: 10036.5, penergy: -875.074, kenergy: 10911.6
Tick: 328, energy: 10036.6, penergy: -878.601, kenergy: 10915.3
Tick: 329, energy: 10036.8, penergy: -881.874, kenergy: 10918.7
Tick: 330, energy: 10036.9, penergy: -884.869, kenergy: 10921.8
Tick: 331, energy: 10037.1, penergy: -887.569, kenergy: 10924.6
Tick: 332, energy: 10037.2, penergy: -889.959, kenergy: 10927.2
Tick: 333, energy: 10037.4, penergy: -892.032, kenergy: 10929.4
Tick: 334, energy: 10037.5, penergy: -893.786, kenergy: 10931.3
Tick: 335, energy: 10037.7, penergy: -895.223, kenergy: 10932.9
Tick: 336, energy: 10037.9, penergy: -896.352, kenergy: 10934.2
Tick: 337, energy: 10038, penergy: -897.188, kenergy: 10935.2
Tick: 338, energy: 10038.1, penergy: -897.748, kenergy: 10935.9
Tick: 339, energy: 10038.3, penergy: -898.059, kenergy: 10936.3
Tick: 340, energy: 10038.4, penergy: -898.149, kenergy: 10936.5
Tick: 341, energy: 10038.4, penergy: -898.051, kenergy: 10936.5
Tick: 342, energy: 10038.5, penergy: -897.804, kenergy: 10936.3
Tick: 343, energy: 10038.6, penergy: -897.447, kenergy: 10936
Tick: 344, energy: 10038.6, penergy: -897.026, kenergy: 10935.6
Tick: 345, energy: 10038.6, penergy: -896.586, kenergy: 10935.2
Tick: 346, energy: 10038.6, penergy: -896.172, kenergy: 10934.8
Tick: 347, energy: 10038.5, penergy: -895.829, kenergy: 10934.4
Tick: 348, energy: 10038.5, penergy: -895.603, kenergy: 10934.1
Tick: 349, energy: 10038.4, penergy: -895.533, kenergy: 10933.9
Tick: 350, energy: 10038.3, penergy: -895.655, kenergy: 10933.9
Tick: 351, energy: 10038.2, penergy: -896, kenergy: 10934.2
Tick: 352, energy: 10038, penergy: -896.592, kenergy: 10934.6
Tick: 353, energy: 10037.9, penergy: -897.448, kenergy: 10935.4
Tick: 354, energy: 10037.8, penergy: -898.577, kenergy: 10936.4
Tick: 355, energy: 10037.6, penergy: -899.982, kenergy: 10937.6
Tick: 356, energy: 10037.5, penergy: -901.657, kenergy: 10939.2
Tick: 357, energy: 10037.4, penergy: -903.59, kenergy: 10941
Tick: 358, energy: 10037.3, penergy: -905.763, kenergy: 10943
Tick: 359, energy: 10037.2, penergy: -908.151, kenergy: 10945.3
Tick: 360, energy: 10037.1, penergy: -910.727, kenergy: 10947.8
Tick: 361, energy: 10037, penergy: -913.459, kenergy: 10950.5
Tick: 362, energy: 10036.9, penergy: -916.314, kenergy: 10953.2
Tick: 363, energy: 10036.9, penergy: -919.259, kenergy: 10956.2
Tick: 364, energy: 10036.9, penergy: -922.259, kenergy: 10959.1
Tick: 365, energy: 10036.9, penergy: -925.283, kenergy: 10962.1
Tick: 366, energy: 10036.9, penergy: -928.3, kenergy: 10965.2
Tick: 367, energy: 10036.9, penergy: -931.283, kenergy: 10968.2
Tick: 368, energy: 10036.9, penergy: -934.208, kenergy: 10971.1
Tick: 369, energy: 10037, penergy: -937.057, kenergy: 10974
Tick: 370, energy: 10037, penergy: -939.813, kenergy: 10976.8
Tick: 371, energy: 10037.1, penergy: -942.464, kenergy: 10979.5
Tick: 372, energy: 10037.1, penergy: -945.004, kenergy: 10982.1
Tick: 373, energy: 10037.2, penergy: -947.427, kenergy: 10984.6
Tick: 374, energy: 10037.2, penergy: -949.733, kenergy: 10987
Tick: 375, energy: 10037.3, penergy: -951.921, kenergy: 10989.2
Tick: 376, energy: 10037.3, penergy: -953.996, kenergy: 10991.3
Tick: 377, energy: 10037.4, penergy: -955.96, kenergy: 10993.4
Tick: 378, energy: 10037.5, penergy: -957.819, kenergy: 10995.3
Tick: 379, energy: 10037.5, penergy: -959.578, kenergy: 10997.1
Tick: 380, energy: 10037.5, penergy: -961.243, kenergy: 10998.8
Tick: 381, energy: 10037.6, penergy: -962.82, kenergy: 11000.4
Tick: 382, energy: 10037.6, penergy: -964.316, kenergy: 11001.9
Tick: 383, energy: 10037.7, penergy: -965.737, kenergy: 11003.4
Tick: 384, energy: 10037.7, penergy: -967.091, kenergy: 11004.8
Tick: 385, energy: 10037.7, penergy: -968.386, kenergy: 11006.1
Tick: 386, energy: 10037.7, penergy: -969.632, kenergy: 11007.4
Tick: 387, energy: 10037.8, penergy: -970.84, kenergy: 11008.6
Tick: 388, energy: 10037.8, penergy: -972.021, kenergy: 11009.8
Tick: 389, energy: 10037.8, penergy: -973.19, kenergy: 11011
Tick: 390, energy: 10037.8, penergy: -974.358, kenergy: 11012.1
Tick: 391, energy: 10037.8, penergy: -975.54, kenergy: 11013.3
Tick: 392, energy: 10037.8, penergy: -976.749, kenergy: 11014.5
